Feuille	Domaine 	Données manquantes	Comment obtenir ces données ?!	Sources marocaine recommandées (lien)	
Questionnaire Environnementale	Environnement	Déchets totaux (t/an)	Additionner les tonnages figurant sur les bordereaux de suivi, factures de collecte et contrats de traitement.	https://www.environnement.gov.ma	
Questionnaire Environnementale	Environnement	Déchets valorisés (t/an)	Additionner les tonnages envoyés vers des filières de recyclage, réemploi ou valorisation (preuves : BSD, certificats prestataires).	https://www.environnement.gov.ma	
Questionnaire Environnementale	Environnement	% de valorisation (calculé) (% de matière recyclées réutilisées)	Calculer : (déchets valorisés / déchets totaux) × 100.	https://www.environnement.gov.ma	
Questionnaire Environnementale	Environnement	Déchets dangereux (t/an)	Additionner les masses figurant sur les BSDD et factures de traitement agréées.	https://www.environnement.gov.ma	
Questionnaire Environnementale	Environnement	Coût actuel de traitement (Mad/t)	Diviser le coût total annuel des contrats de traitement par le tonnage total.	https://www.environnement.gov.ma	
Questionnaire Environnementale	Environnement	Centre de traitement ACTUEL – distance (km)	Mesurer la distance du site au centre agréé via Google Maps ou SIG.	https://www.environnement.gov.ma	
Questionnaire Environnementale	Environnement	Centre de traitement ALTERNATIF – distance (km)	Même méthode, pour le centre pressenti ou alternatif.	https://www.environnement.gov.ma	
Questionnaire Environnementale	Environnement	Electricité (kWh/an)	Relever la consommation sur les 12 factures ONEE ou exporter depuis le portail client.	https://www.onee.ma	
Questionnaire Environnementale	Environnement	Gaz (kWh/an)	Additionner les consommations figurant sur les factures de gaz, propane ou butane. Convertir en kWh si exprimé en m³.	https://www.mtedd.gov.ma	
Questionnaire Environnementale	Environnement	Eau (m³/an)	Relever les volumes sur les factures d’eau potable ou compteurs internes.	https://www.onee.ma	
Questionnaire Environnementale	Environnement	Carburants (L/an)	Totaliser les litres achetés via factures ou cartes flotte pour tous véhicules et engins.	https://www.cgem.ma	
Questionnaire Environnementale	Environnement	Kilomètres parcourus logistique (km/an)	Exporter les km annuels depuis le logiciel de gestion de flotte ou les relevés GPS.	https://www.oncf.ma	
Questionnaire Environnementale	Environnement	Facteur émission (kgCO2/km)	Utiliser les facteurs d’émission officiels publiés par l’AMEE ou, à défaut, par l’ADEME.	https://www.amee.ma	
Questionnaire Environnementale	Environnement	Émissions logistiques estimées (tCO₂e/an) – calcul	Calcul : (km parcourus × facteur émission) ÷ 1000.	https://www.amee.ma	
Questionnaire Environnementale	Environnement	Bilan carbone Scope 1 (tCO₂e/an)	Additionner les émissions issues des combustibles, carburants et procédés directs selon les facteurs d’émission AMEE/CGEM.	https://www.cgem.ma	
